run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000058,20260513,single,0.05,0.9,random,eval_058,13,11,cand_lan_a_d,3,scalar16,1,0.98003,1,0.360349,0.009,1,0,random_scalar16
a_min_000059,20260513,single,0.05,0.9,random,eval_059,13,11,cand_lan_a_d,3,scalar16,1,0.97985,1,0.360349,0.009,1,0,random_scalar16
a_min_000060,20260513,single,0.05,0.9,random,eval_060,13,11,cand_wan_e_f,3,scalar16,1,1.01992,1,0.360349,0.0165,1,0,random_scalar16
a_min_000061,20260513,single,0.05,0.9,random,eval_061,13,11,cand_wan_b_d,3,scalar16,1,1.10131,1,0.360349,0.0245,1,0,random_scalar16
a_min_000062,20260513,single,0.05,0.9,random,eval_062,13,11,cand_wan_a_b,3,scalar16,1,1.03429,1,0.360349,0.015,1,0,random_scalar16
a_min_000063,20260513,single,0.05,0.9,random,eval_063,13,11,cand_wan_a_c,3,scalar16,1,1.08451,1,0.360349,0.011,1,0,random_scalar16
a_min_000064,20260513,single,0.05,0.9,random,eval_064,13,11,cand_wan_e_f,3,scalar16,1,1.01731,1,0.360349,0.0165,1,0,random_scalar16
a_min_000065,20260513,single,0.05,0.9,random,eval_065,13,11,cand_lan_b_d,3,scalar16,1,1.0094,1,0.360349,0.0245,1,0,random_scalar16
a_min_000066,20260513,single,0.05,0.9,random,eval_066,13,11,cand_wan_e_f,3,scalar16,1,1.01704,1,0.360349,0.0165,1,0,random_scalar16
a_min_000067,20260513,single,0.05,0.9,random,eval_067,13,11,cand_wan_a_b,3,scalar16,1,1.036,1,0.360349,0.015,1,0,random_scalar16
a_min_000068,20260513,single,0.05,0.9,random,eval_068,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96062,1,0.360349,0.0155,1,0,random_scalar16
a_min_000069,20260513,single,0.05,0.9,random,eval_069,13,11,cand_lan_a_b,3,scalar16,1,0.94364,1,0.360349,0.015,1,0,random_scalar16
a_min_000070,20260513,single,0.05,0.9,random,eval_070,13,11,cand_wan_a_c,3,scalar16,1,1.08451,1,0.360349,0.011,1,0,random_scalar16
a_min_000071,20260513,single,0.05,0.9,random,eval_071,13,11,cand_wan_a_c,3,scalar16,1,1.0846,1,0.360349,0.011,1,0,random_scalar16
a_min_000072,20260513,single,0.05,0.9,random,eval_072,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.95918,1,0.360349,0.0155,1,0,random_scalar16
a_min_000073,20260513,single,0.05,0.9,random,eval_073,13,11,cand_lan_b_d,3,scalar16,1,1.0094,1,0.360349,0.0245,1,0,random_scalar16
a_min_000074,20260513,single,0.05,0.9,random,eval_074,13,11,cand_homo_ff,1,scalar16,1,1.2154,1,0.360349,0.0,0,1,random_scalar16
a_min_000075,20260513,single,0.05,0.9,random,eval_075,13,11,cand_wan_b_d,3,scalar16,1,1.10149,1,0.360349,0.0245,1,0,random_scalar16
a_min_000076,20260513,single,0.05,0.9,random,eval_076,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.95873,1,0.360349,0.0155,1,0,random_scalar16
a_min_000077,20260513,single,0.05,0.9,random,eval_077,13,11,cand_wan_a_d,3,scalar16,1,1.06969,1,0.360349,0.009,1,0,random_scalar16
a_min_000078,20260513,single,0.05,0.9,random,eval_078,13,11,cand_wan_a_d,3,scalar16,1,1.06951,1,0.360349,0.009,1,0,random_scalar16
a_min_000079,20260513,single,0.05,0.9,random,eval_079,13,11,cand_wan_a_d,3,scalar16,1,1.06933,1,0.360349,0.009,1,0,random_scalar16
a_min_000080,20260513,single,0.05,0.9,random,eval_080,13,11,cand_lan_e_f,3,scalar16,1,0.9254,1,0.360349,0.0165,1,0,random_scalar16
