pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.486289
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.433348
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.431211
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.01,200,0.345,0.345,0,0,,no_logits_or_output_in_capture,C2,6.972586
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.02,200,0.71,0.71,0,0,,no_logits_or_output_in_capture,C2,6.971728
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.926993
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.948292
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.913829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.984566
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.01,200,0.025,0.025,0,0,,no_logits_or_output_in_capture,C2,6.91341
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.02,200,0.05,0.05,0,0,,no_logits_or_output_in_capture,C2,6.894579
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.05,200,0.135,0.135,0,0,,no_logits_or_output_in_capture,C2,6.880982
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.1,200,0.26,0.26,0,0,,no_logits_or_output_in_capture,C2,6.882437
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,0.355,0.355,0,0,,no_logits_or_output_in_capture,C2,6.873324
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.2,200,0.445,0.445,0,0,,no_logits_or_output_in_capture,C2,6.918264
