pair_id,pair_label,variant,family,prompt_id,checkpoint,gap_metric,gap_value,threshold,over_threshold
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_135,C2,mean_projected_cosine_gap,0.00011365,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_135,C3,mean_projected_cosine_gap,0.000170637,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_136,C1,mean_projected_cosine_gap,6.1366e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_136,C2,mean_projected_cosine_gap,9.3455e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_136,C3,mean_projected_cosine_gap,0.000105457,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_137,C1,mean_projected_cosine_gap,4.1382e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_137,C2,mean_projected_cosine_gap,8.1789e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_137,C3,mean_projected_cosine_gap,6.8943e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_138,C1,mean_projected_cosine_gap,4.1747e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_138,C2,mean_projected_cosine_gap,5.6839e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_138,C3,mean_projected_cosine_gap,7.2145e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_139,C1,mean_projected_cosine_gap,3.7634e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_139,C2,mean_projected_cosine_gap,8.6729e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_139,C3,mean_projected_cosine_gap,6.6304e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_140,C1,mean_projected_cosine_gap,1.6895e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_140,C2,mean_projected_cosine_gap,0.000163956,0.000391069,0
