variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos4,projcos,tamper,eval_191,checkpoint_specific,99.0,1.5,64,256,768,102365,102365,2132,32,96,103431,103431,207083,207147,1.561,1.534625,0.200125,0.184375,0.03325,3.31325,3.513375,1,prefill,C2,189
projcos4,projcos,tamper,eval_192,checkpoint_specific,99.0,1.5,64,256,768,109963,109963,2132,32,96,111029,111029,222279,222343,1.723917,1.697833,0.248125,0.194708,0.040459,3.656917,3.905042,1,prefill,C2,189
projcos4,projcos,tamper,eval_193,checkpoint_specific,99.0,1.5,64,256,768,94729,94729,2132,32,96,95795,95795,191811,191875,1.522084,1.427083,0.194875,0.179792,0.032916,3.161875,3.35675,1,prefill,C2,189
projcos4,projcos,tamper,eval_194,checkpoint_specific,99.0,1.5,64,256,768,94732,94732,2132,32,96,95798,95798,191817,191881,1.538958,1.681542,0.201292,0.275167,0.033959,3.529626,3.730918,1,prefill,C2,189
projcos4,projcos,tamper,eval_195,checkpoint_specific,99.0,1.5,64,256,768,94608,94608,2132,32,96,95674,95674,191569,191633,1.540083,1.451417,0.186834,0.177875,0.03125,3.200625,3.387459,1,prefill,C2,189
projcos4,projcos,tamper,eval_196,checkpoint_specific,99.0,1.5,64,256,768,94721,94721,2132,32,96,95787,95787,191795,191859,1.48225,1.46675,0.223166,0.180375,0.032,3.161375,3.384541,1,prefill,C2,189
projcos4,projcos,tamper,eval_197,checkpoint_specific,99.0,1.5,64,256,768,125292,125292,2132,32,96,126358,126358,252937,253001,1.712875,1.58475,0.217542,0.267625,0.033,3.59825,3.815792,1,prefill,C2,189
projcos4,projcos,tamper,eval_198,checkpoint_specific,99.0,1.5,64,256,768,125348,125348,2132,32,96,126414,126414,253049,253113,1.596917,1.52,0.195375,0.174417,0.0285,3.319834,3.515209,1,prefill,C2,189
projcos4,projcos,tamper,eval_199,checkpoint_specific,99.0,1.5,64,256,768,125330,125330,2132,32,96,126396,126396,253013,253077,1.703041,1.641666,0.21425,0.196208,0.034125,3.57504,3.78929,1,prefill,C2,189
projcos4,projcos,tamper,eval_200,checkpoint_specific,99.0,1.5,64,256,768,94667,94667,2132,32,96,95733,95733,191687,191751,1.6,1.496,0.200834,0.181708,0.032209,3.309917,3.510751,1,prefill,C2,189
projcos16,projcos,honest_homo,eval_001,checkpoint_specific,99.0,1.5,256,1024,3072,125387,125387,2132,32,96,126453,126453,253125,253189,1.691958,1.683333,0.399583,0.313625,0.052042,3.740958,4.140541,0,,,187
