prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C3,16384,64,0.02,256,3,8,0.0004463599814447638,0.03515625,1.0,0.96875,0.00032980081512042585,0.0007298008151204259,0.02,3.469446951953614e-18,5.830213438910127e-19,0.13104383303499556,0.2923339046751891,64,256
eval_001,prefill__C3,16384,1,0.05,1,0,8,0.0013269824944864468,0.0234375,0.76953125,0.671875,0.00032980081512042585,0.0028298769715545597,0.05,0.0006238735084209112,4.1935395045339625e-05,0.4417125875978082,0.9293428109545286,64,256
eval_001,prefill__C3,16384,2,0.05,1,5,8,0.0009929407987027431,0.01953125,0.94140625,0.90625,0.00032980081512042585,0.0028298956507797437,0.05,0.0007768937211259858,5.2221074727349526e-05,0.3071295473581177,0.7158616143486075,64,256
eval_001,prefill__C3,16384,4,0.05,1,5,8,0.0008247635664812968,0.02734375,1.0,0.984375,0.00032980081512042585,0.0028298956507797437,0.05,0.0007768937211259858,5.2221074727349526e-05,0.20570740926759556,0.5287480867373009,64,256
eval_001,prefill__C3,16384,8,0.05,1,5,8,0.0006062843402392971,0.0390625,1.0,1.0,0.00032980081512042585,0.0028298956507797437,0.05,0.0007768937211259858,5.2221074727349526e-05,0.1452118885101274,0.3697396399626739,64,256
eval_001,prefill__C3,16384,16,0.05,1,5,8,0.000600830622509261,0.0234375,1.0,1.0,0.00032980081512042585,0.0028298956507797437,0.05,0.0007768937211259858,5.2221074727349526e-05,0.1284905859170859,0.251902817307961,64,256
eval_001,prefill__C3,16384,32,0.05,1,1,8,0.0004691358479269402,0.07421875,1.0,1.0,0.00032980081512042585,0.0028298638680182425,0.05,0.0005165293389107905,3.471995779169725e-05,0.08011237997857892,0.184331840163797,64,256
eval_001,prefill__C3,16384,64,0.05,1,5,8,0.0004463599814447638,0.03515625,1.0,1.0,0.00032980081512042585,0.0028298956507797437,0.05,0.0007768937211259858,5.2221074727349526e-05,0.05529545452693656,0.13942393672733622,64,256
eval_001,prefill__C3,16384,1,0.05,16,4,8,0.0013269824944864468,0.0234375,0.53125,0.421875,0.00032980081512042585,0.002829800815120426,0.05,-1.0408340855860843e-17,-6.996256126692152e-19,0.7798432988115185,1.4428609089421953,64,256
eval_001,prefill__C3,16384,2,0.05,16,0,8,0.0009929407987027431,0.01953125,0.71484375,0.671875,0.00032980081512042585,0.0028298008151204264,0.05,-6.938893903907228e-18,-4.664170751128101e-19,0.6091918938473648,1.0395581642035832,64,256
eval_001,prefill__C3,16384,4,0.05,16,3,8,0.0008247635664812968,0.02734375,0.921875,0.875,0.00032980081512042585,0.0028298008151204264,0.05,0.0,0.0,0.48704770692375576,0.9837270489046631,64,256
eval_001,prefill__C3,16384,8,0.05,16,7,8,0.0006062843402392971,0.0390625,0.98046875,0.96875,0.00032980081512042585,0.002829800815120426,0.05,-1.0408340855860843e-17,-6.996256126692152e-19,0.2991784203189578,0.6868842635965199,64,256
eval_001,prefill__C3,16384,16,0.05,16,3,8,0.000600830622509261,0.0234375,1.0,1.0,0.00032980081512042585,0.0028298008151204264,0.05,0.0,0.0,0.24415286977850403,0.6212529923842969,64,256
eval_001,prefill__C3,16384,32,0.05,16,0,8,0.0004691358479269402,0.07421875,1.0,1.0,0.00032980081512042585,0.0028298008151204264,0.05,-6.938893903907228e-18,-4.664170751128101e-19,0.14078718181642333,0.37230987375616886,64,256
eval_001,prefill__C3,16384,64,0.05,16,0,8,0.0004463599814447638,0.03515625,1.0,1.0,0.00032980081512042585,0.0028298008151204264,0.05,-6.938893903907228e-18,-4.664170751128101e-19,0.10184495114962058,0.2711049780182884,64,256
eval_001,prefill__C3,16384,1,0.05,256,5,8,0.0013269824944864468,0.0234375,0.48828125,0.453125,0.00032980081512042585,0.0028298008151204264,0.05,1.3877787807814457e-17,9.328341502256202e-19,0.8590147362019604,1.7779541770985507,64,256
eval_001,prefill__C3,16384,2,0.05,256,2,8,0.0009929407987027431,0.01953125,0.7265625,0.640625,0.00032980081512042585,0.002829800815120426,0.05,-3.469446951953614e-18,-2.3320853755640504e-19,0.637719711285166,1.4591630179918809,64,256
eval_001,prefill__C3,16384,4,0.05,256,2,8,0.0008247635664812968,0.02734375,0.88671875,0.828125,0.00032980081512042585,0.002829800815120426,0.05,-3.469446951953614e-18,-2.3320853755640504e-19,0.4682197140141626,0.9640469556251469,64,256
eval_001,prefill__C3,16384,8,0.05,256,4,8,0.0006062843402392971,0.0390625,0.98046875,0.96875,0.00032980081512042585,0.002829800815120426,0.05,2.0816681711721685e-17,1.3992512253384303e-18,0.3359374671734836,0.783545128141642,64,256
eval_001,prefill__C3,16384,16,0.05,256,3,8,0.000600830622509261,0.0234375,1.0,1.0,0.00032980081512042585,0.002829800815120426,0.05,-1.0408340855860843e-17,-6.996256126692152e-19,0.2612454912121013,0.5645466177851507,64,256
eval_001,prefill__C3,16384,32,0.05,256,1,8,0.0004691358479269402,0.07421875,1.0,1.0,0.00032980081512042585,0.0028298008151204264,0.05,0.0,0.0,0.17148720494840497,0.376661640754629,64,256
