prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.23046875,combined,0.244140625,0.02,0.9997913927259168
eval_001,prefill__C1,16384,256,0.02,adaptive_joint,16384,0.099609375,spike,0.01220703125,0.019999996423903838,0.9997908210213896
eval_001,prefill__C1,16384,256,0.02,adaptive_joint,16384,0.099609375,energy,0.01220703125,0.019999996423903838,0.9997908210213896
eval_001,prefill__C1,16384,256,0.02,adaptive_joint,16384,0.099609375,directional,0.10302734375,0.019999996423903838,0.9997908210213896
eval_001,prefill__C1,16384,256,0.02,adaptive_joint,16384,0.099609375,combined,0.107421875,0.019999996423903838,0.9997908210213896
eval_001,prefill__C1,16384,256,0.05,fixed_diffuse,16384,1.0,spike,0.01220703125,0.05000000000000002,0.9987371684507692
eval_001,prefill__C1,16384,256,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05000000000000002,0.9987371684507692
eval_001,prefill__C1,16384,256,0.05,fixed_diffuse,16384,1.0,directional,0.513671875,0.05000000000000002,0.9987371684507692
eval_001,prefill__C1,16384,256,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05000000000000002,0.9987371684507692
eval_001,prefill__C1,16384,256,0.05,fixed_directional,16371,1.0,spike,0.01220703125,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,256,0.05,fixed_directional,16371,1.0,energy,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,256,0.05,fixed_directional,16371,1.0,directional,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,256,0.05,fixed_directional,16371,1.0,combined,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,256,0.05,fixed_sparse16,16,0.21875,spike,0.2275390625,0.05000000000000001,0.9987327043075919
eval_001,prefill__C1,16384,256,0.05,fixed_sparse16,16,0.21875,energy,0.2275390625,0.05000000000000001,0.9987327043075919
eval_001,prefill__C1,16384,256,0.05,fixed_sparse16,16,0.21875,directional,0.216796875,0.05000000000000001,0.9987327043075919
